event-id,visible,timestamp,location-long,location-lat,comments,migration-stage,study-specific-measurement,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
1083838944,TRUE,15/04/2005 15:24:00,-115.57109,51.73628118,west of scalp creek  / at ranch,,2005,radio-transmitter,Cervus elaphus,BL201,BL201,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",598668.4617,5732673.441,11N,Mountain Daylight Time,24:00.0
1083838945,TRUE,17/04/2005 15:30:00,-115.5563887,51.75631554,in shrubland north of red trap,,2005,radio-transmitter,Cervus elaphus,BL201,BL201,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",599639.462,5734921.442,11N,Mountain Daylight Time,30:00.0
1083838946,TRUE,29/04/2005 16:00:00,-115.5169074,51.74034862,north of walker's ridge,,2005,radio-transmitter,Cervus elaphus,BL201,BL201,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",602400.4627,5733200.441,11N,Mountain Daylight Time,00:00.0
1083838947,TRUE,28/03/2005 15:00:00,-115.5672543,51.74353599,at stack yard,,2005,radio-transmitter,Cervus elaphus,BL203,BL203,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",598917.4618,5733485.441,11N,Mountain Standard Time,00:00.0
1083838948,TRUE,03/04/2005 16:00:00,-115.5563478,51.74215262,around red trap,,2005,radio-transmitter,Cervus elaphus,BL203,BL203,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",599673.462,5733346.441,11N,Mountain Daylight Time,00:00.0
1083838949,TRUE,17/04/2005 15:30:00,-115.5563887,51.75631554,in shrubland north of red trap,,2005,radio-transmitter,Cervus elaphus,BL203,BL203,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",599639.462,5734921.442,11N,Mountain Daylight Time,30:00.0
1083838950,TRUE,21/04/2005 22:00:00,-115.5012851,51.73097849,above Eagle Lake parking lot,,2005,radio-transmitter,Cervus elaphus,BL203,BL203,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",603500.463,5732180.441,11N,Mountain Daylight Time,00:00.0
1083838951,TRUE,26/04/2005 16:00:00,-115.5001222,51.7486061,aspen slpoes east of the eastern ranch boundary,,2005,radio-transmitter,Cervus elaphus,BL203,BL203,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",603540.463,5734142.442,11N,Mountain Daylight Time,00:00.0
1083838952,TRUE,07/05/2005 17:00:00,-115.5830867,51.73657932,mare's ridge,,2005,radio-transmitter,Cervus elaphus,BL203,BL203,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",597839.4615,5732690.441,11N,Mountain Daylight Time,00:00.0
1083838953,TRUE,01/04/2005 23:30:00,-115.5630584,51.73151638,west of scalp creek,,2005,radio-transmitter,Cervus elaphus,BL205,BL205,"Ya Ha Tinda elk project, Banff National Park (data from Hebblewhite et al. 2008)",599233.4619,5732154.441,11N,Mountain Standard Time,30:00.0
