latitude,longitude,elevation
  52.02941,-115.55092,1486.49329
  52.09927,-115.79646,1547.76587
  51.85552,-115.84119,1705.55981
  51.95124,-115.48718,1675.56189
  52.04182,-115.53812,1420.23254
  51.73230,-115.85261,2361.27734
  52.10547,-115.79601,1587.33337
  52.09188,-115.73732,1588.15649
  51.93787,-115.86725,2084.15210
  51.74224,-115.51275,1671.94983
  51.84184,-115.58657,2057.72534
  51.77626,-115.89378,2306.47290
  51.85853,-115.65268,2301.71606
  51.74162,-115.84245,2213.47949
  52.01906,-115.64299,1708.24854
  51.97070,-115.77025,2124.34741
  51.93183,-115.87171,2426.02808
  51.74552,-115.91194,2433.23657
  51.82233,-115.67158,2094.66064
  51.98665,-115.64100,1614.97021
  52.02293,-115.73239,1708.58948
  52.02563,-115.75681,1598.52271
  51.92408,-115.54634,1704.26733
  52.10107,-115.82526,1605.44934
  52.13852,-115.70546,1622.33093
  51.87127,-115.84773,1701.44141
  51.96421,-115.75615,1879.03064
  51.86712,-115.69074,2118.60938
  51.79425,-115.84037,2206.02539
  51.84032,-115.80488,2181.66211
  52.13998,-115.50798,1484.46313
  51.82582,-115.51467,2381.17114
  51.85608,-115.90587,1691.21399
  51.96659,-115.81111,1959.35352
  51.75682,-115.78945,2205.27979
  51.74860,-115.84752,2381.30103
  51.94864,-115.84913,2100.25513
  52.07429,-115.65005,1749.48267
  51.96536,-115.73432,1698.84998
  51.83800,-115.84622,2305.14893
  51.75380,-115.76721,2609.53564
  51.84546,-115.79342,1968.48914
  52.06811,-115.66784,1546.22925
  51.86536,-115.62541,1994.98804
  51.82270,-115.85392,2340.50269
  52.10443,-115.84690,1688.99268
  51.94385,-115.66317,1545.42017
  51.78856,-115.56866,2089.36304
  51.85095,-115.76546,1845.91394
  51.78849,-115.68842,2204.09741
  51.91195,-115.54386,1763.84229
  51.81088,-115.65752,1977.01978
  51.77929,-115.80757,2438.00024
  51.82592,-115.79851,1947.30249
  52.03742,-115.70496,1563.80396
  52.08414,-115.79026,1813.51453
  51.76935,-115.56591,2016.37720
  51.93724,-115.85559,2393.13623
  51.81452,-115.63238,2154.01025
  52.08959,-115.75668,1696.16260
  52.09652,-115.70994,1545.72412
  51.81536,-115.90432,2407.00391
  52.13493,-115.87094,1749.74109
  51.78209,-115.66503,2110.88989
  51.96019,-115.77350,2138.36328
  52.13164,-115.75081,1591.03113
  51.91803,-115.70898,1705.97314
  51.93002,-115.62574,1623.70447
  51.92885,-115.73095,1830.71533
  52.09108,-115.68054,1511.00000
  52.02289,-115.51629,1615.22131
  51.73989,-115.69813,2162.99658
  52.10671,-115.85411,1748.79846
  52.10804,-115.51398,1598.94006
  51.89630,-115.54656,1669.95447
  52.07070,-115.53221,1596.42932
  51.98575,-115.76583,1697.77734
  51.79846,-115.58585,2259.94580
  52.12840,-115.69215,1605.46216
  52.06221,-115.72656,1719.35474
  51.82298,-115.63951,2217.77368
  52.08440,-115.66673,1654.58972
  51.75967,-115.88500,2620.50757
  52.10594,-115.59423,1609.00879
  51.80436,-115.76157,2167.77759
  51.97018,-115.51836,1796.88965
  51.88781,-115.60398,2216.34351
  51.77512,-115.76560,2117.32715
  51.72963,-115.67976,1679.62146
  52.02902,-115.76894,1617.99207
  52.06100,-115.50116,1814.53088
  51.76148,-115.70717,2051.36792
  52.06132,-115.48818,1675.04761
  51.77640,-115.88881,2492.80493
  52.12433,-115.77722,1571.77185
  51.73472,-115.72696,2432.95508
  51.99083,-115.53734,1878.68335
  51.78781,-115.79381,2962.08911
  52.06369,-115.78634,1650.23389
  51.79909,-115.68248,1918.15015
  52.05504,-115.58051,1459.65625
  51.88805,-115.49005,1652.23022
  51.92897,-115.76685,2298.07642
  51.97806,-115.67765,1616.98486
  51.87531,-115.90328,2189.42017
  52.11112,-115.60892,1637.10669
  51.82837,-115.85526,2599.15479
  51.84324,-115.85183,2212.48120
  52.01361,-115.82351,1876.93433
  52.09069,-115.54497,1663.50525
  51.91884,-115.65613,1931.61145
  51.83529,-115.52578,1969.56409
  51.98860,-115.65640,1684.83875
  52.15153,-115.60232,1525.21826
  51.98767,-115.54302,1651.39917
  52.10620,-115.74340,1559.08118
  52.09621,-115.75526,1664.77905
  51.88477,-115.71659,1606.33118
  51.94961,-115.72224,1890.26233
  52.09631,-115.55624,1716.92773
  52.07728,-115.51798,1669.94031
  51.86964,-115.69851,2255.61865
  51.90257,-115.74996,2127.29810
  52.09467,-115.67731,1545.63391
  51.79446,-115.87008,2354.50366
  52.04664,-115.75181,1809.38452
  52.00446,-115.62427,1619.58167
  52.09026,-115.68665,1511.89429
  52.00373,-115.66040,1712.15430
  51.81236,-115.52128,2182.35547
  51.93998,-115.89430,2423.60400
  51.93098,-115.79608,2122.56738
  51.80407,-115.52568,2044.50488
  52.13866,-115.88418,1710.40454
  52.00772,-115.73288,1549.45984
  51.90114,-115.90331,2184.36768
  51.76514,-115.65899,2221.56787
  52.03862,-115.56385,1429.42761
  51.75472,-115.74692,2468.54834
  52.14272,-115.52044,1513.40564
  51.92015,-115.74245,2064.18726
  52.09793,-115.52228,1586.37402
  52.00550,-115.75292,1619.42493
  52.04817,-115.52889,1493.53418
  51.95775,-115.66658,1549.65601
  52.08748,-115.71825,1546.12195
  51.73623,-115.86891,2614.34741
  52.04923,-115.57900,1436.02258
  52.05089,-115.87813,1878.03418
  52.04337,-115.69692,1535.33569
  51.75115,-115.80532,2487.79834
  52.08293,-115.75239,1691.69019
  52.00850,-115.66852,1650.36658
  51.86757,-115.53313,1791.45923
  51.76788,-115.71158,2094.34106
  52.10544,-115.89195,1710.29285
  51.75301,-115.87151,2424.69775
  51.93646,-115.66614,1565.54456
  52.08529,-115.88016,1617.61804
  51.79761,-115.82235,2706.66675
  51.82333,-115.61522,2364.57080
  51.78712,-115.68345,2227.42212
  52.07126,-115.85059,1683.95618
  51.98345,-115.72069,1522.29407
  52.14556,-115.58679,1513.80042
  51.77744,-115.67293,2214.77734
  51.81678,-115.71136,2430.14893
  52.03816,-115.89239,2026.16064
  51.74162,-115.65383,1805.02576
  52.06474,-115.51574,1683.80981
  51.98638,-115.84504,2141.66260
  52.08811,-115.76770,1767.62915
  51.91297,-115.87264,2252.22339
  51.75476,-115.61585,1842.33130
  51.81388,-115.58871,2292.91040
  51.97050,-115.57028,1702.98486
  51.79907,-115.79436,2660.46094
  52.01616,-115.64368,1726.70874
  52.11498,-115.58752,1643.39404
  51.92072,-115.90166,2307.91138
  51.91971,-115.62462,1845.29126
  51.73342,-115.50595,1689.64172
  51.90708,-115.78097,2128.17969
  51.76353,-115.78337,2154.62451
  51.96857,-115.52973,1659.19482
  51.90798,-115.80902,2396.23828
  51.96075,-115.49365,1620.44360
  51.77945,-115.52228,1800.60291
  52.06769,-115.52361,1579.34912
  52.09150,-115.91188,1691.27856
  51.98671,-115.85222,2320.12012
  52.05116,-115.61573,1453.60986
  51.73941,-115.48297,1672.27576
  52.05712,-115.82831,1656.06177
  52.09646,-115.80838,1568.06189
  52.10770,-115.83382,1682.39648
  51.79606,-115.83410,2303.83643
  52.06583,-115.81510,1650.29004
  51.81070,-115.78864,2237.12964
  52.10521,-115.70037,1526.87244
  51.74971,-115.67749,1992.86865
  51.83103,-115.61985,2229.57031
  51.95102,-115.64553,1552.21631
  52.03333,-115.64676,1483.16394
  52.14340,-115.87849,1832.26648
  51.90102,-115.87200,1984.06873
  51.74660,-115.53076,1646.66479
  52.00538,-115.87658,1973.06409
  51.87866,-115.86312,1960.80200
  51.97171,-115.69270,1601.76221
  51.89567,-115.52790,1615.45300
  51.82095,-115.75051,1924.67102
  51.91707,-115.65683,1973.45947
  51.99287,-115.64790,1639.44153
  51.81248,-115.73242,2173.02905
  51.91957,-115.54797,1762.00134
  51.76894,-115.54087,1802.25330
  51.77694,-115.56965,2181.97998
  51.92918,-115.67748,1707.74390
  52.10184,-115.71617,1609.36450
  52.02945,-115.81765,1751.93652
  52.04611,-115.48199,1734.32214
  52.05301,-115.90107,1946.23511
  51.73872,-115.73415,2599.86743
  52.05456,-115.56075,1470.04272
  51.76297,-115.55268,1752.09656
  51.73154,-115.89249,2385.31714
  51.81901,-115.50342,2161.42285
  52.10565,-115.63906,1775.04749
  52.00403,-115.60407,1612.61499
  52.13912,-115.63295,1576.69861
  52.12216,-115.82683,1626.26123
  51.89653,-115.69869,1574.20093
  51.84402,-115.63373,2200.49268
  51.83086,-115.82683,2333.50635
  51.88266,-115.51648,1695.92871
  51.84445,-115.68941,2118.13086
  51.98942,-115.51427,1747.62720
  51.76887,-115.80577,2340.50293
  51.97082,-115.79462,1884.47852
