"","Month","Temperature","Year","nMonth","Date","Time"
"1","Jan",3,1659,1,1659-01-15,-113.576
"360","Feb",4,1659,2,1659-02-15,-113.545
"719","Mar",6,1659,3,1659-03-15,-113.517
"1078","Apr",7,1659,4,1659-04-15,-113.486
"1437","May",11,1659,5,1659-05-15,-113.456
"1796","Jun",13,1659,6,1659-06-15,-113.425
"2155","Jul",16,1659,7,1659-07-15,-113.395
"2514","Aug",16,1659,8,1659-08-15,-113.364
"2873","Sep",13,1659,9,1659-09-15,-113.333
"3232","Oct",10,1659,10,1659-10-15,-113.303
"3591","Nov",5,1659,11,1659-11-15,-113.272
"3950","Dec",2,1659,12,1659-12-15,-113.242
"2","Jan",0,1660,1,1660-01-15,-113.211
"361","Feb",4,1660,2,1660-02-15,-113.18
"720","Mar",6,1660,3,1660-03-15,-113.151
"1079","Apr",9,1660,4,1660-04-15,-113.12
"1438","May",11,1660,5,1660-05-15,-113.09
"1797","Jun",14,1660,6,1660-06-15,-113.059
"2156","Jul",15,1660,7,1660-07-15,-113.029
"2515","Aug",16,1660,8,1660-08-15,-112.998
"2874","Sep",13,1660,9,1660-09-15,-112.967
"3233","Oct",10,1660,10,1660-10-15,-112.937
"3592","Nov",6,1660,11,1660-11-15,-112.906
"3951","Dec",5,1660,12,1660-12-15,-112.876
"3","Jan",5,1661,1,1661-01-15,-112.845
"362","Feb",5,1661,2,1661-02-15,-112.814
"721","Mar",6,1661,3,1661-03-15,-112.786
"1080","Apr",8,1661,4,1661-04-15,-112.755
"1439","May",11,1661,5,1661-05-15,-112.725
"1798","Jun",14,1661,6,1661-06-15,-112.694
"2157","Jul",15,1661,7,1661-07-15,-112.664
"2516","Aug",15,1661,8,1661-08-15,-112.633
"2875","Sep",13,1661,9,1661-09-15,-112.602
"3234","Oct",11,1661,10,1661-10-15,-112.572
"3593","Nov",8,1661,11,1661-11-15,-112.541
"3952","Dec",6,1661,12,1661-12-15,-112.511
"4","Jan",5,1662,1,1662-01-15,-112.48
"363","Feb",6,1662,2,1662-02-15,-112.449
"722","Mar",6,1662,3,1662-03-15,-112.421
"1081","Apr",8,1662,4,1662-04-15,-112.39
"1440","May",11,1662,5,1662-05-15,-112.36
"1799","Jun",15,1662,6,1662-06-15,-112.329
"2158","Jul",15,1662,7,1662-07-15,-112.299
"2517","Aug",15,1662,8,1662-08-15,-112.268
"2876","Sep",13,1662,9,1662-09-15,-112.237
"3235","Oct",11,1662,10,1662-10-15,-112.207
"3594","Nov",6,1662,11,1662-11-15,-112.176
"3953","Dec",3,1662,12,1662-12-15,-112.146
"5","Jan",1,1663,1,1663-01-15,-112.115
"364","Feb",1,1663,2,1663-02-15,-112.084
"723","Mar",5,1663,3,1663-03-15,-112.056
"1082","Apr",7,1663,4,1663-04-15,-112.025
"1441","May",10,1663,5,1663-05-15,-111.995
"1800","Jun",14,1663,6,1663-06-15,-111.964
"2159","Jul",15,1663,7,1663-07-15,-111.934
"2518","Aug",15,1663,8,1663-08-15,-111.903
"2877","Sep",13,1663,9,1663-09-15,-111.872
"3236","Oct",10,1663,10,1663-10-15,-111.842
"3595","Nov",7,1663,11,1663-11-15,-111.811
"3954","Dec",5,1663,12,1663-12-15,-111.781
"6","Jan",4,1664,1,1664-01-15,-111.75
"365","Feb",5,1664,2,1664-02-15,-111.719
"724","Mar",5,1664,3,1664-03-15,-111.69
"1083","Apr",8,1664,4,1664-04-15,-111.659
"1442","May",11,1664,5,1664-05-15,-111.629
"1801","Jun",15,1664,6,1664-06-15,-111.598
"2160","Jul",16,1664,7,1664-07-15,-111.568
"2519","Aug",16,1664,8,1664-08-15,-111.537
"2878","Sep",13,1664,9,1664-09-15,-111.506
"3237","Oct",9,1664,10,1664-10-15,-111.476
"3596","Nov",6,1664,11,1664-11-15,-111.445
"3955","Dec",4,1664,12,1664-12-15,-111.415
"7","Jan",1,1665,1,1665-01-15,-111.384
"366","Feb",1,1665,2,1665-02-15,-111.353
"725","Mar",5,1665,3,1665-03-15,-111.325
"1084","Apr",7,1665,4,1665-04-15,-111.294
"1443","May",10,1665,5,1665-05-15,-111.264
"1802","Jun",14,1665,6,1665-06-15,-111.233
"2161","Jul",16,1665,7,1665-07-15,-111.203
"2520","Aug",15,1665,8,1665-08-15,-111.172
"2879","Sep",13,1665,9,1665-09-15,-111.141
"3238","Oct",9,1665,10,1665-10-15,-111.111
"3597","Nov",6,1665,11,1665-11-15,-111.08
"3956","Dec",2,1665,12,1665-12-15,-111.05
"8","Jan",4,1666,1,1666-01-15,-111.019
"367","Feb",5,1666,2,1666-02-15,-110.988
"726","Mar",6,1666,3,1666-03-15,-110.96
"1085","Apr",8,1666,4,1666-04-15,-110.929
