Date,Time,Long,Lat,heightAboveMsl
16/12/2001,05:01:00,-115.82358,52.09921,1591
16/12/2001,13:01:00,-115.84559,52.10575,1591
16/12/2001,17:01:00,-115.85197,52.10465,1591
16/12/2001,21:02:00,-115.85558,52.10534,1591
17/12/2001,07:01:00,-115.85534,52.1025,1456
17/12/2001,09:00:00,-115.85587,52.10213,1456
17/12/2001,11:01:00,-115.85651,52.10319,1456
17/12/2001,19:00:00,-115.85892,52.10072,1455
18/12/2001,01:01:00,-115.8544,52.10157,1455
18/12/2001,09:01:00,-115.85476,52.10098,1455
18/12/2001,13:01:00,-115.85454,52.10263,1647
18/12/2001,19:00:00,-115.84649,52.09377,1645
19/12/2001,03:01:00,-115.82103,52.10085,1630
19/12/2001,07:01:00,-115.81924,52.09793,1630
19/12/2001,17:01:00,-115.8033,52.1044,1632
19/12/2001,19:01:00,-115.80467,52.11085,1632
20/12/2001,01:01:00,-115.79611,52.10844,1632
20/12/2001,03:01:00,-115.79538,52.10752,1577
20/12/2001,15:01:00,-115.79454,52.10717,1577
20/12/2001,19:00:00,-115.80041,52.10988,1578
21/12/2001,03:02:00,-115.79142,52.10667,1577
21/12/2001,05:02:00,-115.79059,52.10653,1577
21/12/2001,07:01:00,-115.7919,52.10641,1577
21/12/2001,09:00:00,-115.79516,52.10779,1577
21/12/2001,13:01:00,-115.79536,52.10789,1577
21/12/2001,21:00:00,-115.79816,52.10988,1577
22/12/2001,05:01:00,-115.79769,52.10336,1577
22/12/2001,07:01:00,-115.79917,52.10365,1568
22/12/2001,13:01:00,-115.79648,52.104,1568
22/12/2001,15:01:00,-115.79645,52.1039,1568
22/12/2001,19:01:00,-115.79592,52.1077,1568
22/12/2001,21:02:00,-115.7957,52.10742,1568
23/12/2001,03:02:00,-115.85318,52.08475,1568
23/12/2001,07:00:00,-115.84965,52.08584,1568
23/12/2001,09:01:00,-115.84999,52.08576,1569
23/12/2001,13:01:00,-115.82645,52.10477,1604
23/12/2001,17:01:00,-115.82133,52.10714,1604
23/12/2001,19:02:00,-115.82108,52.10664,1604
23/12/2001,21:02:00,-115.81355,52.10546,1604
24/12/2001,13:00:00,-115.81129,52.10568,1604
25/12/2001,07:02:00,-115.84176,52.10314,1603
25/12/2001,09:01:00,-115.84172,52.10322,1603
25/12/2001,19:01:00,-115.8273,52.11484,1603
25/12/2001,21:00:00,-115.82717,52.11499,1750
25/12/2001,23:00:00,-115.82919,52.11497,1754
26/12/2001,01:00:00,-115.81463,52.11434,1737
26/12/2001,03:00:00,-115.81462,52.11443,1737
26/12/2001,05:00:00,-115.8177,52.10311,1736
26/12/2001,07:00:00,-115.85843,52.08388,1736
26/12/2001,09:00:00,-115.85896,52.08368,1625
26/12/2001,11:00:00,-115.85892,52.08348,1625
26/12/2001,13:00:00,-115.85803,52.08318,1625
26/12/2001,15:00:00,-115.8556,52.08728,1626
26/12/2001,17:00:00,-115.85818,52.08652,1625
26/12/2001,19:01:00,-115.85548,52.08962,1625
26/12/2001,21:01:00,-115.85532,52.08971,1616
27/12/2001,01:02:00,-115.85617,52.09101,1616
27/12/2001,05:00:00,-115.85329,52.08648,1615
27/12/2001,07:00:00,-115.85205,52.08635,1615
27/12/2001,09:00:00,-115.85127,52.08631,1615
27/12/2001,11:01:00,-115.84907,52.08561,1606
27/12/2001,13:00:00,-115.84911,52.08559,1600
27/12/2001,15:00:00,-115.8505,52.08644,1602
27/12/2001,17:00:00,-115.85493,52.08942,1624
27/12/2001,19:00:00,-115.85487,52.08928,1624
27/12/2001,21:01:00,-115.85516,52.09092,1624
28/12/2001,01:01:00,-115.85153,52.08954,1621
28/12/2001,03:01:00,-115.84852,52.08559,1621
28/12/2001,05:00:00,-115.85292,52.08643,1616
28/12/2001,07:00:00,-115.86345,52.08355,1616
28/12/2001,09:01:00,-115.85635,52.08505,1611
28/12/2001,11:00:00,-115.85296,52.08577,1611
28/12/2001,13:00:00,-115.84998,52.08673,1608
28/12/2001,15:00:00,-115.84598,52.08703,1608
28/12/2001,17:00:00,-115.85003,52.09411,1610
28/12/2001,19:01:00,-115.85024,52.0939,1610
28/12/2001,21:01:00,-115.85071,52.09311,1615
28/12/2001,23:00:00,-115.79733,52.10325,1616
29/12/2001,01:01:00,-115.79717,52.10311,1559
29/12/2001,03:00:00,-115.79664,52.10297,1559
29/12/2001,05:01:00,-115.7902,52.10645,1559
29/12/2001,07:00:00,-115.79137,52.10615,1559
29/12/2001,09:00:00,-115.79505,52.10823,1581
29/12/2001,11:00:00,-115.79506,52.10806,1581
29/12/2001,13:01:00,-115.79153,52.10938,1579
29/12/2001,15:00:00,-115.79196,52.10988,1581
29/12/2001,17:00:00,-115.79679,52.10803,1581
29/12/2001,19:00:00,-115.79625,52.10805,1581
29/12/2001,21:00:00,-115.79621,52.10798,1581
29/12/2001,23:00:00,-115.79482,52.10755,1582
30/12/2001,01:01:00,-115.7951,52.10741,1575
30/12/2001,03:00:00,-115.79501,52.10742,1575
30/12/2001,05:00:00,-115.79397,52.1097,1586
