Observed,strata,Date,Time,Long,Lat,heightAboveMsl
1,1,16/12/2001,05:01:00,-115.82358,52.09921,1591
1,2,16/12/2001,13:01:00,-115.84559,52.10575,1591
1,3,16/12/2001,17:01:00,-115.85197,52.10465,1591
1,4,16/12/2001,21:02:00,-115.85558,52.10534,1591
1,5,17/12/2001,07:01:00,-115.85534,52.1025,1456
1,6,17/12/2001,09:00:00,-115.85587,52.10213,1456
1,7,17/12/2001,11:01:00,-115.85651,52.10319,1456
1,8,17/12/2001,19:00:00,-115.85892,52.10072,1455
1,9,18/12/2001,01:01:00,-115.8544,52.10157,1455
1,10,18/12/2001,09:01:00,-115.85476,52.10098,1455
1,11,18/12/2001,13:01:00,-115.85454,52.10263,1647
1,12,18/12/2001,19:00:00,-115.84649,52.09377,1645
1,13,19/12/2001,03:01:00,-115.82103,52.10085,1630
1,14,19/12/2001,07:01:00,-115.81924,52.09793,1630
1,15,19/12/2001,17:01:00,-115.8033,52.1044,1632
1,16,19/12/2001,19:01:00,-115.80467,52.11085,1632
1,17,20/12/2001,01:01:00,-115.79611,52.10844,1632
1,18,20/12/2001,03:01:00,-115.79538,52.10752,1577
1,19,20/12/2001,15:01:00,-115.79454,52.10717,1577
1,20,20/12/2001,19:00:00,-115.80041,52.10988,1578
1,21,21/12/2001,03:02:00,-115.79142,52.10667,1577
1,22,21/12/2001,05:02:00,-115.79059,52.10653,1577
1,23,21/12/2001,07:01:00,-115.7919,52.10641,1577
1,24,21/12/2001,09:00:00,-115.79516,52.10779,1577
1,25,21/12/2001,13:01:00,-115.79536,52.10789,1577
1,26,21/12/2001,21:00:00,-115.79816,52.10988,1577
1,27,22/12/2001,05:01:00,-115.79769,52.10336,1577
1,28,22/12/2001,07:01:00,-115.79917,52.10365,1568
1,29,22/12/2001,13:01:00,-115.79648,52.104,1568
1,30,22/12/2001,15:01:00,-115.79645,52.1039,1568
1,31,22/12/2001,19:01:00,-115.79592,52.1077,1568
1,32,22/12/2001,21:02:00,-115.7957,52.10742,1568
1,33,23/12/2001,03:02:00,-115.85318,52.08475,1568
1,34,23/12/2001,07:00:00,-115.84965,52.08584,1568
1,35,23/12/2001,09:01:00,-115.84999,52.08576,1569
1,36,23/12/2001,13:01:00,-115.82645,52.10477,1604
1,37,23/12/2001,17:01:00,-115.82133,52.10714,1604
1,38,23/12/2001,19:02:00,-115.82108,52.10664,1604
1,39,23/12/2001,21:02:00,-115.81355,52.10546,1604
1,40,24/12/2001,13:00:00,-115.81129,52.10568,1604
1,41,25/12/2001,07:02:00,-115.84176,52.10314,1603
1,42,25/12/2001,09:01:00,-115.84172,52.10322,1603
1,43,25/12/2001,19:01:00,-115.8273,52.11484,1603
1,44,25/12/2001,21:00:00,-115.82717,52.11499,1750
1,45,25/12/2001,23:00:00,-115.82919,52.11497,1754
1,46,26/12/2001,01:00:00,-115.81463,52.11434,1737
1,47,26/12/2001,03:00:00,-115.81462,52.11443,1737
1,48,26/12/2001,05:00:00,-115.8177,52.10311,1736
1,49,26/12/2001,07:00:00,-115.85843,52.08388,1736
1,50,26/12/2001,09:00:00,-115.85896,52.08368,1625
1,51,26/12/2001,11:00:00,-115.85892,52.08348,1625
1,52,26/12/2001,13:00:00,-115.85803,52.08318,1625
1,53,26/12/2001,15:00:00,-115.8556,52.08728,1626
1,54,26/12/2001,17:00:00,-115.85818,52.08652,1625
1,55,26/12/2001,19:01:00,-115.85548,52.08962,1625
1,56,26/12/2001,21:01:00,-115.85532,52.08971,1616
1,57,27/12/2001,01:02:00,-115.85617,52.09101,1616
1,58,27/12/2001,05:00:00,-115.85329,52.08648,1615
1,59,27/12/2001,07:00:00,-115.85205,52.08635,1615
1,60,27/12/2001,09:00:00,-115.85127,52.08631,1615
1,61,27/12/2001,11:01:00,-115.84907,52.08561,1606
1,62,27/12/2001,13:00:00,-115.84911,52.08559,1600
1,63,27/12/2001,15:00:00,-115.8505,52.08644,1602
1,64,27/12/2001,17:00:00,-115.85493,52.08942,1624
1,65,27/12/2001,19:00:00,-115.85487,52.08928,1624
1,66,27/12/2001,21:01:00,-115.85516,52.09092,1624
1,67,28/12/2001,01:01:00,-115.85153,52.08954,1621
1,68,28/12/2001,03:01:00,-115.84852,52.08559,1621
1,69,28/12/2001,05:00:00,-115.85292,52.08643,1616
1,70,28/12/2001,07:00:00,-115.86345,52.08355,1616
1,71,28/12/2001,09:01:00,-115.85635,52.08505,1611
1,72,28/12/2001,11:00:00,-115.85296,52.08577,1611
1,73,28/12/2001,13:00:00,-115.84998,52.08673,1608
1,74,28/12/2001,15:00:00,-115.84598,52.08703,1608
1,75,28/12/2001,17:00:00,-115.85003,52.09411,1610
1,76,28/12/2001,19:01:00,-115.85024,52.0939,1610
1,77,28/12/2001,21:01:00,-115.85071,52.09311,1615
1,78,28/12/2001,23:00:00,-115.79733,52.10325,1616
1,79,29/12/2001,01:01:00,-115.79717,52.10311,1559
1,80,29/12/2001,03:00:00,-115.79664,52.10297,1559
1,81,29/12/2001,05:01:00,-115.7902,52.10645,1559
1,82,29/12/2001,07:00:00,-115.79137,52.10615,1559
1,83,29/12/2001,09:00:00,-115.79505,52.10823,1581
1,84,29/12/2001,11:00:00,-115.79506,52.10806,1581
1,85,29/12/2001,13:01:00,-115.79153,52.10938,1579
1,86,29/12/2001,15:00:00,-115.79196,52.10988,1581
1,87,29/12/2001,17:00:00,-115.79679,52.10803,1581
1,88,29/12/2001,19:00:00,-115.79625,52.10805,1581
1,89,29/12/2001,21:00:00,-115.79621,52.10798,1581
1,90,29/12/2001,23:00:00,-115.79482,52.10755,1582
1,91,30/12/2001,01:01:00,-115.7951,52.10741,1575
1,92,30/12/2001,03:00:00,-115.79501,52.10742,1575
