Observed,strata,x-val,y-val,resource
1,0,68,61,1.0156680
1,1,84,6,2.6439770
1,2,52,8,1.3142050
1,3,83,5,2.9620360
1,4,83,5,2.9620360
1,5,82,6,2.7139460
1,6,41,83,0.9361395
1,7,37,11,1.3171610
1,8,76,66,2.5387070
1,9,83,6,2.9456110
1,10,80,4,1.2605180
1,11,76,6,2.5767310
1,12,99,21,1.3394870
1,13,64,62,1.5075760
1,14,86,13,0.6216234
1,15,76,7,2.3000000
1,16,36,75,0.8505190
1,17,86,3,2.0401580
1,18,100,21,1.7320750
1,19,9,24,1.8982290
1,20,83,5,2.9620360
1,21,90,5,2.5090900
1,22,84,3,1.6572170
1,23,90,4,1.8441710
1,24,83,6,2.9456110
1,25,82,7,2.3753710
1,26,76,8,2.5101910
1,27,88,5,2.2283080
1,28,84,6,2.6439770
1,29,84,5,2.6471850
1,30,68,60,0.7893619
1,31,30,14,2.0812090
1,32,37,13,2.3102430
1,33,83,5,2.9620360
1,34,89,5,2.3483120
1,35,22,5,1.8768700
1,36,32,16,1.8138630
1,37,88,4,2.1044440
1,38,99,21,1.3394870
1,39,27,58,1.8927720
1,40,13,30,0.9982309
1,41,32,12,1.7673180
1,42,100,21,1.7320750
1,43,63,10,1.1255820
1,44,21,84,0.4529004
1,45,74,9,1.7421240
1,46,35,16,1.9655130
1,47,7,0,1.8191460
1,48,41,15,2.2591110
1,49,77,7,2.5135510
1,50,82,6,2.7139460
1,51,84,5,2.6471850
1,52,82,6,2.7139460
1,53,73,7,1.9637510
1,54,81,8,0.9680117
1,55,84,6,2.6439770
1,56,16,67,0.0341709
1,57,83,6,2.9456110
1,58,68,68,1.4890190
1,59,32,12,1.7673180
1,60,34,19,1.3865070
1,61,4,63,2.0044540
1,62,83,6,2.9456110
1,63,84,6,2.6439770
1,64,82,6,2.7139460
1,65,39,19,0.7409188
1,66,71,2,1.6219840
1,67,42,18,1.5766780
1,68,84,11,1.3276710
1,69,74,5,1.7119160
1,70,30,14,2.0812090
1,71,31,11,0.6870131
1,72,76,8,2.5101910
