Observed,strata,x-val,y-val,resource,StepLength,Bearing,CosTA
1,3,73,66,0.5006508,2.8284271,-2.35619449,-0.997785158
1,4,75,64,1.312693,2.8284271,-0.785398163,0
1,5,76,63,1.299178,1.4142136,-0.785398163,1
1,6,67,65,1.942485,9.2195445,2.922923708,-0.843661488
1,7,75,74,-0.4843892,12.0415946,0.844153986,-0.486407537
1,8,76,58,1.604368,16.0312195,-1.508377517,-0.70451192
1,9,80,55,0.6499545,5,-0.643501109,0.648734176
1,10,69,54,0.9132639,11.045361,-3.050932766,-0.742393118
1,11,62,64,1.550215,12.2065556,2.181522291,0.49693748
1,12,72,59,0.4084985,11.1803399,-0.463647609,-0.879291967
1,13,76,63,1.299178,5.6568542,0.785398163,0.316227766
1,14,65,65,1.388885,11.1803399,2.961739154,-0.569209979
1,15,74,60,1.523499,10.2956301,-0.507098504,-0.946931489
1,16,74,57,1.273912,3,-1.570796327,0.485642931
1,17,71,57,0.9284327,3,3.141592654,0
1,18,72,60,0.9421561,3.1622777,1.249045772,-0.316227766
1,19,83,52,-0.2721405,13.6014705,-0.628796286,-0.302243861
1,20,71,52,0.2591601,12,3.141592654,-0.808736084
1,21,65,49,-0.1430011,6.7082039,-2.677945045,0.894427191
1,22,65,58,0.0821879,9,1.570796327,-0.447213595
1,23,72,56,1.412732,7.2801099,-0.278299659,-0.274721128
1,24,74,57,1.273912,2.236068,0.463647609,0.73715414
1,25,82,55,-0.3395604,8.2462113,-0.244978663,0.759256602
1,26,83,50,-0.9347401,5.0990195,-1.373400767,0.428086345
1,27,76,60,0.9744904,12.2065556,2.181522291,-0.915788209
1,28,83,70,-1.868318,12.2065556,0.960070362,0.342281879
1,29,73,86,-1.78401,18.8679623,2.129395642,0.390772845
1,30,83,86,-0.3094626,10,0,-0.52999894
1,31,91,81,1.279137,9.4339811,-0.558599315,0.847998304
1,32,68,53,0.6760482,36.2353419,-2.258467583,-0.128713859
1,33,64,58,0.4512985,6.4031242,2.245537269,-0.206879256
1,34,66,62,1.036616,4.472136,1.107148718,0.419058177
1,35,63,73,0.3751067,11.4017543,1.837048376,0.745241314
1,36,68,64,1.54863,10.2956301,-1.063697822,-0.971136422
1,37,64,71,0.6245375,8.0622577,2.089942441,-0.999927428
1,38,67,66,1.748307,5.8309519,-1.030376827,-0.99977373
1,39,68,63,1.48672,3.1622777,-1.249045772,0.97618706
1,40,64,70,0.0846974,8.0622577,2.089942441,-0.980580676
1,41,64,74,0.1699459,4,1.570796327,0.868243142
1,42,60,83,0.3511847,9.8488578,1.989020656,0.913811549
1,43,61,98,0.6311806,15.0332964,1.504228163,0.884771671
1,44,46,96,-0.0175412,15.132746,-3.009041121,-0.197806497
1,45,41,99,-0.1250241,5.8309519,2.601173153,0.78197324
1,46,44,89,0.4332325,10.4403065,-1.279339532,-0.739196337
1,47,45,89,0.6829371,1,0,0.287347886
1,48,43,87,0.7882729,2.8284271,-2.35619449,-0.707106781
1,49,48,81,-0.5683031,7.8102497,-0.876058051,0.090535746
1,50,55,66,-0.6059791,16.5529454,-1.134169167,0.966873849
1,51,72,60,0.9421561,18.0277564,-0.339292614,0.700372885
1,52,73,64,1.195409,4.1231056,1.325817664,-0.094174191
1,53,64,71,0.6245375,11.4017543,2.480549485,0.404163848
1,54,65,62,1.476441,9.0553851,-1.460139106,-0.69735496
1,55,75,63,1.500275,10.0498756,0.099668652,0.010988348
1,56,69,71,1.181635,10,2.214297436,-0.517419339
1,57,73,73,0.7747334,4.472136,0.463647609,-0.178885438
1,58,69,71,1.181635,4.472136,-2.677945045,-1
1,59,70,68,0.2353147,3.1622777,-1.249045772,0.141421356
1,60,69,67,1.572336,1.4142136,-2.35619449,0.447213595
1,61,67,65,1.942485,2.8284271,-2.35619449,1
1,62,64,60,1.030066,5.8309519,-2.111215827,0.9701425
1,63,63,63,0.5938821,3.1622777,1.892546881,-0.650791373
1,64,89,55,-0.7094484,27.202941,-0.298498932,-0.581238194
1,65,93,61,-0.1865161,7.2111026,0.982793723,0.285476587
1,66,94,70,-1.029412,9.0553851,1.460139106,0.888217643
1,67,100,79,0.526063,10.8166538,0.982793723,0.888217643
1,68,92,85,0.6980135,10,2.498091545,0.05547002
1,69,90,77,0.1993918,8.2462113,-1.81577499,-0.388057
1,70,90,76,0.4297482,1,-1.570796327,0.9701425
1,71,94,76,0.9116102,4,0,0
1,72,94,78,1.272989,2,1.570796327,0
1,73,93,83,0.287574,5.0990195,1.768191887,0.980580676
1,74,97,80,0.4479476,5,-0.643501109,-0.745241314
1,75,96,85,0.1191876,5.0990195,1.768191887,-0.745241314
1,76,95,79,1.133848,6.0827625,-1.735945004,-0.934997526
1,77,95,76,1.1515,3,-1.570796327,0.986393924
1,78,95,71,-0.581898,5,-1.570796327,1
1,79,88,92,-1.677311,22.1359436,1.892546881,-0.948683298
1,80,87,96,-0.2260086,4.1231056,1.81577499,0.997054486
1,81,89,94,-0.6552201,2.8284271,-0.785398163,-0.857492926
1,82,91,81,1.279137,13.1529464,-1.418146998,0.806404996
1,83,89,92,-1.52429,11.1803399,1.750649827,-0.999629989
1,84,84,99,-0.7137876,8.6023253,2.191045813,0.904582926
1,85,82,98,-0.7381175,2.236068,-2.677945045,0.155962573
1,86,82,99,-0.1697039,1,1.570796327,-0.447213595
1,87,84,96,-1.035614,3.6055513,-0.982793723,-0.832050294
1,88,95,92,0.1198318,11.7046999,-0.348771004,0.805651013
1,89,89,95,-0.3424824,6.7082039,2.677945045,-0.993408936
1,90,82,94,-1.163152,7.0710678,-2.999695599,0.822192192
1,91,84,98,-0.791578,4.472136,1.107148718,-0.569209979
1,92,74,99,-0.5586803,10.0498756,3.041924001,-0.355995328
1,93,91,100,-0.4718815,17.0293864,0.058755823,-0.987477068
1,94,61,84,0.8724648,34,-2.651635327,-0.908464222
1,95,69,67,1.572336,18.7882942,-1.130953744,0.050093769
1,96,56,78,-0.615882,17.0293864,2.439335722,-0.909508239
1,97,57,81,0.1265266,3.1622777,1.249045772,0.371390676
1,98,64,73,0.8508411,10.6301458,-0.851966327,-0.5057195
1,99,74,68,1.009289,11.1803399,-0.463647609,0.925546956
1,100,70,71,0.6781715,5,2.498091545,-0.98386991
1,101,67,70,0.9104012,3.1622777,-2.819842099,0.569209979
1,102,71,72,0.2997289,4.472136,0.463647609,-0.989949494
1,103,67,68,0.685374,5.6568542,-2.35619449,-0.948683298
1,104,65,62,1.476441,6.3245553,-1.892546881,0.894427191
1,105,63,64,0.670579,2.8284271,2.35619449,-0.447213595
1,106,69,66,0.9320314,6.3245553,0.321750554,-0.447213595
1,107,71,63,1.194354,3.6055513,-0.982793723,0.263117406
1,108,68,55,0.661509,8.5440037,-1.929566997,0.584304726
1,109,72,47,-1.100069,8.9442719,-1.107148718,0.680451099
1,110,66,46,-0.7084714,6.0827625,-2.976443976,-0.294085849
1,111,62,26,-1.256309,20.3960781,-1.768191887,0.354654234
1,112,39,11,1.888571,27.4590604,-2.563690717,0.699928582
1,113,43,17,1.323442,7.2111026,0.982793723,-0.91914503
1,114,53,9,0.7919101,12.8062485,-0.674740942,-0.086629616
1,115,55,2,-0.8191553,7.2801099,-1.292496668,0.815180408
1,116,43,7,0.9236817,13,2.746801534,-0.623405636
1,117,37,6,0.9554447,6.0827625,-2.976443976,0.847287088
1,118,45,4,0.7927713,8.2462113,-0.244978663,-0.917070056
1,119,41,2,0.1049199,4.472136,-2.677945045,-0.759256602
1,120,50,5,0.7923108,9.486833,0.321750554,-0.989949494
1,121,54,3,-0.3871796,4.472136,-0.463647609,0.707106781
1,122,46,2,1.060386,8.0622577,-3.017237659,-0.832050294
1,123,32,14,2.267568,18.4390889,2.432966381,0.672672794
1,124,34,17,1.470303,3.6055513,0.982793723,0.120331368
1,125,41,21,1.011318,8.0622577,0.519146114,0.894427191
1,126,40,11,1.757175,10.0498756,-1.670464979,-0.580070117
1,127,41,15,2.259111,4.1231056,1.325817664,-0.989461064
1,128,10,20,-0.7130976,31.4006369,2.98167953,-0.084962986
1,129,31,42,0.4434352,30.4138127,0.808649786,-0.566484383
1,130,31,55,0.740874,13,1.570796327,0.723355544
1,133,27,52,0.1858603,7.2801099,-1.849095986,-0.73715414
1,134,16,50,-0.4010958,11.1803399,-2.961739154,0.442292484
1,135,31,56,-0.1995807,16.1554944,0.380506377,-0.979936662
1,136,27,60,0.4992829,5.6568542,2.35619449,-0.393919299
1,137,24,58,1.366144,3.6055513,-2.55359005,0.196116135
1,138,26,69,-0.5139322,11.1803399,1.390942827,-0.694594514
1,139,23,73,-0.3208581,5,2.214297436,0.679764665
1,140,20,73,0.5154159,3,3.141592654,0.6
1,141,14,67,0.5692569,8.4852814,-2.35619449,0.707106781
1,142,10,75,0.8463321,8.9442719,2.034443936,-0.316227766
1,143,17,73,1.200247,7.2801099,-0.278299659,-0.675724629
1,144,11,69,0.4497458,7.2111026,-2.55359005,-0.64764842
1,145,20,87,1.101859,20.1246118,1.107148718,-0.868243142
1,146,19,86,0.325719,1.4142136,-2.35619449,-0.948683298
1,147,14,89,-1.507975,5.8309519,2.601173153,0.242535625
1,148,14,88,-0.989769,1,-1.570796327,-0.514495755
1,153,28,84,0.006107,14.8660687,-2.403777593,0.739940073
1,154,31,86,-0.0349465,3.6055513,0.588002604,-0.988799087
1,155,30,97,0.4885523,11.045361,1.661456214,0.477091863
1,156,39,86,0.0607433,14.2126704,-0.885066816,-0.828109472
1,157,41,84,1.133502,2.8284271,-0.785398163,0.99503719
1,158,36,78,-0.5109474,7.8102497,-2.265534603,0.090535746
1,159,23,86,0.3774113,15.2643375,2.589937671,0.142595573
1,160,37,81,-0.35066,14.8660687,-0.34302394,-0.978315371
1,161,42,86,1.218595,7.0710678,0.785398163,0.428086345
1,162,53,68,-0.0934241,21.0950231,-1.022246924,-0.234640533
1,163,62,74,0.1006998,10.8166538,0.588002604,-0.039442967
1,164,59,69,0.1663349,5.8309519,-2.111215827,-0.903737839
1,165,58,68,0.4003311,1.4142136,-2.35619449,0.9701425
1,166,60,66,0.3481463,2.8284271,-0.785398163,6.12574E-17
1,167,56,66,-0.1183773,4,3.141592654,-0.707106781
1,168,50,63,-0.5893927,6.7082039,-2.677945045,0.894427191
1,169,55,62,-0.60587,5.0990195,-0.19739556,-0.789352217
1,170,50,57,-0.7690446,7.0710678,-2.35619449,-0.554700196
1,171,45,32,-0.8544495,25.4950976,-1.768191887,0.832050294
1,172,39,16,1.608673,17.0880075,-1.929566997,0.98700727
1,173,36,7,0.3119184,9.486833,-1.892546881,0.999314834
1,174,29,6,0.6461287,7.0710678,-2.999695599,0.447213595
1,175,20,1,1.050782,10.2956301,-2.634494149,0.934051835
1,176,44,3,1.080829,24.0831892,0.083141232,-0.911468176
1,177,44,2,1.04396,1,-1.570796327,-0.08304548
1,178,50,3,0.4240432,6.0827625,0.165148677,-0.164398987
1,179,53,5,0.5012997,3.6055513,0.588002604,0.911921505
1,180,44,11,1.22223,10.8166538,2.55359005,-0.384615385
1,181,37,9,0.6798505,7.2801099,-2.863292995,0.64764842
1,182,37,5,0.5124104,4,-1.570796327,0.274721128
1,183,43,14,1.104069,10.8166538,0.982793723,-0.832050294
1,184,42,12,1.687438,2.236068,-2.034443936,-0.992277877
1,185,31,10,0.445127,11.1803399,-2.961739154,0.6
1,186,42,4,1.010942,12.5299641,-0.499346722,-0.778075365
1,187,41,4,0.4494586,1,3.141592654,-0.877895573
1,188,33,11,0.7355304,10.6301458,2.422762654,0.752576695
1,189,34,10,0.5365152,1.4142136,-0.785398163,-0.997785158
1,190,36,14,0.7399353,4.472136,1.107148718,-0.316227766
1,191,40,0,0.0787351,14.5602198,-1.292496668,-0.73715414
1,192,38,2,0.824132,2.8284271,2.35619449,-0.874157276
1,193,33,13,1.589607,12.083046,1.99742382,0.936329178
1,194,33,14,1.594527,1,1.570796327,0.910366477
1,195,31,19,0.8215508,5.3851648,1.951302704,0.928476691
1,196,30,21,0.5897659,2.236068,2.034443936,0.996545758
1,197,40,16,1.556776,11.1803399,-0.463647609,-0.8
1,198,31,14,2.101703,9.2195445,-2.922923708,-0.776114
1,199,31,15,2.090911,1,1.570796327,-0.216930458
0,3,62,77,-0.1757045,15.8113883,2.53604799,-0.243935288
0,3,83,84,-0.228301,17.8885438,1.107148718,0.925546956
0,3,79,13,1.053822,55.1452627,-1.498196873,-0.602181312
0,3,71,68,0.7177114,4,3.141592654,-0.752576695
0,3,68,74,0.2357778,9.2195445,2.432966381,-0.142849706
0,3,60,75,-0.1896155,16.5529454,2.704965494,-0.403500285
0,3,72,81,-1.486918,13.3416641,1.797595175,0.472417068
0,3,71,16,-0.1387426,52.1536192,-1.647568218,-0.714284971
0,3,60,27,-1.443192,43.6577599,-1.921524275,-0.876988179
0,3,80,67,-0.7031519,5.0990195,-0.19739556,0.608818785
0,4,96,79,0.4330325,26.4196896,0.514451313,-0.96351791
0,4,52,55,0.2059826,23.7065392,-2.659079359,0.954479978
0,4,77,90,-1.218559,24.3310501,1.405647649,-0.813733471
0,4,69,71,1.181635,6.4031242,2.245537269,-0.110431526
0,4,75,44,-1.877628,22.090722,-1.48013644,0.6401844
0,4,55,63,-0.543382,18.2482876,-2.976443976,0.813733471
0,4,73,89,-2.040989,23,1.570796327,-0.707106781
0,4,77,66,1.461673,4,0,-0.707106781
0,4,71,98,-0.7197005,32.0624391,1.633215137,-0.661621637
0,4,54,81,-0.9087557,24.2074369,2.473303235,0.116841248
0,5,43,61,-2.073197,32.1403174,-3.048115872,-0.638017865
0,5,77,64,0.6397595,2,0,0.707106781
0,5,33,66,-0.8614797,42.0475921,3.09400955,-0.739940073
0,5,85,66,-1.189572,10.198039,0.19739556,0.554700196
0,5,42,52,-1.585661,35.1140997,-2.79282165,-0.422885465
0,5,73,74,0.0802783,10.198039,1.768191887,-0.832050294
0,5,69,62,0.9646722,6.3245553,-2.819842099,-0.447213595
0,5,95,45,-0.8738311,27.5862284,-0.759762755,0.999671431
0,5,97,89,0.1963115,33.3016516,0.849141476,-0.063700154
0,5,58,55,-0.5437568,19.2353841,-2.654693422,-0.294085849
0,6,92,35,-0.3225739,32.249031,-1.051650213,0.964763821
0,6,66,58,0.4482034,11.1803399,-2.677945045,-0.316227766
0,6,82,55,-0.3395604,10,-0.927295218,0.989949494
0,6,66,38,-1.143587,26.925824,-1.951302704,0.393919299
0,6,55,13,0.0572752,54.2309875,-1.968424318,0.378125083
0,6,84,32,0.3600056,32.0156212,-1.318242051,0.861365903
0,6,76,76,-1.073996,13,1.570796327,-0.707106781
0,6,80,56,-0.1341743,8.0622577,-1.051650213,0.964763821
0,6,89,61,-0.9784505,13.1529464,-0.152649328,0.806404996
0,6,74,56,0.5564553,7.2801099,-1.849095986,0.485642931
0,7,69,67,1.572336,2.8284271,0.785398163,-0.536875492
0,7,59,60,0.7724171,9.4339811,-2.582993338,0.712832059
0,7,49,71,-0.5379219,18.973666,2.819842099,0.994691794
0,7,91,69,-1.691556,24.3310501,0.165148677,-0.927241837
0,7,54,37,-1.877017,30.8706981,-2.005466542,0.214325538
0,7,56,99,0.8303605,35.7351368,1.883697555,0.506887474
0,7,80,79,-0.5756815,19.1049732,0.822418279,-0.505282331
0,7,75,76,-1.336666,13.6014705,0.94200004,-0.398726111
0,7,65,26,-0.9385766,39.0512484,-1.622033494,-0.166650594
0,7,60,70,-0.0314587,8.6023253,2.521343168,0.920444352
0,8,88,89,-1.790772,19.8494332,0.856705628,0.999921229
0,8,59,81,0.0848446,17.4642492,2.729182212,-0.309086072
0,8,45,95,-0.326541,36.6196668,2.530866689,-0.115656964
0,8,33,88,-1.843376,44.2718872,2.819842099,-0.393919299
0,8,89,70,-1.424985,14.5602198,-0.278299659,0.43347261
0,8,81,72,-1.405013,6.3245553,-0.321750554,0.393919299
0,8,78,45,-1.035913,29.1547595,-1.467714718,-0.675079441
0,8,68,32,-1.445314,42.5793377,-1.735945004,-0.846460753
0,8,64,74,0.1699459,11,3.141592654,-0.664363839
0,8,90,50,-1.780918,28.3019434,-1.012197011,-0.281689704
0,9,73,53,0.1518616,5.8309519,-2.111215827,0.823729662
0,9,99,78,0.4170467,30.4795013,0.71574359,-0.607829859
0,9,64,69,-0.5772228,16.2788206,2.399645386,-0.72039112
0,9,74,64,1.366997,6.3245553,1.892546881,-0.966561558
0,9,76,63,1.299178,5,1.570796327,-0.998052578
0,9,52,28,-0.1309149,38.4187454,-2.245537269,0.740380722
0,9,46,41,-1.695643,34.4818793,-2.626043646,0.437781976
0,9,74,47,-0.4219187,11.1803399,-1.750649827,0.970795334
0,9,22,55,1.188682,54.0832691,-3.086094148,-0.00692025
0,9,49,31,-0.6637649,38.1837662,-2.35619449,0.661621637
0,10,89,66,-1.616342,14.2126704,0.885066816,0.042215853
0,10,72,35,-2.488557,21.5406592,-1.951302704,0.259973473
0,10,35,61,-0.4590388,45.3982379,3.009041121,-0.872280553
0,10,95,40,-0.6555952,21.2132034,-0.785398163,0.989949494
0,10,62,20,-0.3117616,39.3573373,-2.045807083,0.167694271
0,10,53,65,-1.253678,28.7923601,2.786887002,-0.958587622
0,10,59,45,-1.856244,23.2594067,-2.697173444,-0.464328267
0,10,26,34,0.1808019,57.9396237,-2.770701365,-0.528135981
0,10,91,45,-0.3826311,14.8660687,-0.73781506,0.995555735
0,10,99,51,-0.8210844,19.4164878,-0.207496226,0.906446117
0,11,48,55,-1.543839,21.023796,3.09400955,0.990459646
0,11,84,76,-1.102394,26.6270539,0.972377433,-0.635826425
0,11,89,41,-1.095906,23.8537209,-0.576375221,-0.785659375
0,11,77,27,-0.7099469,28.1602557,-1.28274088,-0.196116135
0,11,62,40,-0.3872005,15.6524758,-2.034443936,0.526354615
0,11,62,66,0.7005073,13.892444,2.098870775,0.423598864
0,11,46,38,-1.078146,28.0178515,-2.533790657,0.869235663
0,11,26,65,-1.267157,44.384682,2.891149564,0.942386264
0,11,72,66,0.4782604,12.3693169,1.325817664,-0.329372156
0,11,70,40,-2.083935,14.0356688,-1.499488862,0.019351214
0,12,39,59,-0.9004238,23.5372046,-2.92753197,0.386344703
0,12,61,61,1.630086,3.1622777,-1.892546881,-0.595846924
0,12,68,74,0.2357778,11.6619038,1.030376827,0.407441634
0,12,63,34,-1.534529,30.016662,-1.537475331,-0.837881971
0,12,49,51,-1.206005,18.3847763,-2.35619449,-0.173785334
0,12,84,42,-0.9306649,31.1126984,-0.785398163,-0.984783559
0,12,60,83,0.3511847,19.1049732,1.675673266,0.874763394
0,12,69,64,0.2409551,7,0,-0.573462344
0,12,52,64,-0.8360283,10,3.141592654,0.573462344
0,12,95,84,1.210597,38.5875628,0.544863915,-0.065814443
0,13,81,52,0.6377474,11.4017543,-0.661043169,0.980580676
0,13,76,35,-2.033286,24.3310501,-1.405647649,0.588171698
0,13,67,56,0.5651531,5.8309519,-2.601173153,-0.536875492
0,13,39,30,-0.5521509,43.9317653,-2.42062133,-0.376650083
0,13,35,57,-0.2522157,37.0540146,-3.087591153,-0.868984891
0,13,76,72,-0.4056831,13.6014705,1.272297395,-0.164398987
0,13,72,19,-0.6853991,40,-1.570796327,0.447213595
0,13,61,62,1.213595,11.4017543,2.875340604,-0.980580676
0,13,75,60,1.352938,3.1622777,0.321750554,0.707106781
