Observed,strata,x-val,y-val,resource,StepLength,Bearing,CosTA
1,2,59,77,0.5193583,9.4339811,1.012197,0.938993891
1,3,59,82,0.4623608,5,1.5707963,0.847998312
1,4,60,84,0.5526934,2.236068,1.1071487,0.894427195
1,5,61,94,0.4572759,10.0498756,1.4711277,0.934487719
1,6,64,96,0.0064663,3.6055513,0.5880026,0.634739401
1,7,69,97,-0.7202116,5.0990195,0.1973956,0.924678115
1,8,72,98,-0.2466157,3.1622777,0.3217506,0.992277876
1,9,85,91,-0.7369772,14.7648231,-0.4939414,0.685364643
1,10,91,87,-0.4505651,7.2111026,-0.5880026,0.995579506
1,11,94,85,0.442301,3.6055513,-0.5880026,1
1,12,100,84,1.064898,6.0827625,-0.1651487,0.911921516
1,13,83,85,-0.4361253,17.0293864,3.0828368,-0.994345618
1,14,93,80,0.5289929,11.1803399,-0.4636476,-0.919145046
1,15,96,79,0.4330325,3.1622777,-0.3217506,0.989949501
1,16,99,78,0.4170467,3.1622777,-0.3217506,1
1,17,99,77,0.0909727,1,-1.5707963,0.316227835
1,18,100,70,0.5530807,7.0710678,-1.4288993,0.989949501
1,19,72,57,0.6832184,30.8706981,-2.7069224,0.28860855
1,20,72,56,1.412732,1,-1.5707963,0.421111317
1,21,76,47,-0.0008594,9.8488578,-1.152572,0.913811561
1,22,79,46,-0.5300286,3.1622777,-0.3217506,0.674269396
1,23,82,54,0.065682,8.5440037,1.2120257,0.037011571
1,24,87,80,0.4759056,26.4764046,1.380808,0.985790049
1,25,94,74,-0.3309548,9.2195445,-0.7086263,-0.495697684
1,26,97,71,0.44307,4.2426407,-0.7853982,0.997054485
1,27,98,65,0.5521228,6.0827625,-1.4056476,0.813733521
1,28,95,64,0.3921681,3.1622777,-2.8198421,0.155962524
1,29,89,34,0.3256845,30.5941171,-1.7681919,0.496138949
1,30,88,16,0.4222672,18.0277564,-1.6262948,0.989949487
1,31,87,5,1.839288,11.045361,-1.6614562,0.999381902
1,32,89,2,0.6531269,3.6055513,-0.9827937,0.778413034
1,33,89,1,0.4081452,1,-1.5707963,0.832050296
1,34,83,2,1.473298,6.0827625,2.976444,-0.16439899
1,35,77,3,0.8170161,6.0827625,2.976444,1
1,36,76,6,2.576731,3.1622777,1.8925469,0.467887716
1,37,73,8,1.675876,3.6055513,2.5535901,0.789352198
1,38,64,8,0.6386195,9,3.1415927,0.832050296
1,39,55,11,0.8886858,9.486833,2.8198421,0.948683284
1,40,50,12,0.7473944,5.0990195,2.9441971,0.992277876
1,41,43,16,1.701166,8.0622577,2.6224465,0.948683284
1,42,33,13,1.589607,10.4403065,-2.8501359,0.68906163
1,43,34,7,0.9284599,6.0827625,-1.4056476,0.125972447
1,44,34,6,0.4891084,1,-1.5707963,0.98639392
1,45,33,0,0.7661402,6.0827625,-1.735945,0.98639392
1,46,36,0,0.9653823,3,0,-0.164398983
1,47,26,6,1.57828,11.6619038,2.6011732,-0.85749295
1,48,21,5,2.239741,5.0990195,-2.9441971,0.739940109
1,49,18,5,0.992233,3,3.1415927,0.980580686
1,50,9,3,2.022395,9.2195445,-2.9229237,0.976187069
1,51,6,7,0.3992738,5,2.2142974,0.41216783
1,52,6,21,1.01031,14,1.5707963,0.800000005
1,53,10,24,1.547343,5,0.6435011,0.600000014
1,54,20,44,0.3928423,22.3606798,1.1071487,0.894427195
1,55,20,55,1.320358,11,1.5707963,0.894427195
1,56,17,73,1.200247,18.2482876,1.735945,0.98639392
1,57,17,73,1.200247,0,0,-0.164398983
1,58,18,73,0.736709,1,0,1
1,59,23,79,-0.5603955,7.8102497,0.8760581,0.640184362
1,60,25,87,0.4573923,8.2462113,1.3258177,0.900551642
1,61,26,91,-0.1868702,4.1231056,1.3258177,1
1,62,28,96,-0.1911079,5.3851648,1.1902899,0.990830156
1,63,28,98,-0.292139,2,1.5707963,0.928476682
1,64,21,96,0.83882,7.2801099,-2.863293,-0.274721148
1,65,17,93,0.1220264,5,-2.4980915,0.934051817
1,66,14,94,0.6872877,3.1622777,2.8198421,0.569209943
1,67,9,89,0.4867483,7.0710678,-2.3561945,0.447213605
1,68,7,85,0.6996116,4.472136,-2.0344439,0.948683284
1,69,5,85,0.8655754,2,3.1415927,0.447213605
1,70,0,86,0.6942567,5.0990195,2.9441971,0.980580668
1,71,3,96,0.2335001,10.4403065,1.2793395,-0.093922633
1,72,5,99,-0.5030066,3.6055513,0.9827937,0.956351574
1,73,0,100,1.108009,5.0990195,2.9441971,-0.380749833
1,74,1,100,0.9558821,1,0,-0.980580677
1,75,13,96,-0.857968,12.6491106,-0.3217506,0.948683284
1,76,15,97,0.3769917,2.236068,0.4636476,0.707106755
1,77,20,98,0.6855871,5.0990195,0.1973956,0.964763834
1,78,22,94,0.803568,4.472136,-1.1071487,0.263117384
1,79,23,93,-0.0332522,1.4142136,-0.7853982,0.948683315
1,80,40,95,0.5716396,17.1172428,0.1171087,0.619644295
1,81,50,96,0.3146079,10.0498756,0.0996687,0.999847927
1,82,55,98,0.9999004,5.3851648,0.3805064,0.960823598
1,83,56,98,0.821454,1,0,0.928476682
1,84,57,98,0.614447,1,0,1
1,85,57,98,0.614447,0,0,1
1,86,63,95,-0.10579,6.7082039,-0.4636476,0.894427195
1,87,73,71,0.5505919,26,-1.1760052,0.756823007
1,88,72,68,0.4561744,3.1622777,-1.8925469,0.754081579
1,89,71,67,0.8914676,1.4142136,-2.3561945,0.894427195
1,90,64,66,1.002527,7.0710678,-2.9996956,0.800000005
1,91,60,67,0.3665914,4.1231056,2.896614,0.926092364
1,92,55,76,-0.1839504,10.2956301,2.0778948,0.683157099
1,93,46,78,1.374651,9.2195445,2.9229237,0.663709666
1,94,39,74,1.139271,8.0622577,-2.6224465,0.739940042
1,95,33,81,0.1913081,9.2195445,2.2794226,0.188348345
1,96,42,81,0.2480151,9,0,-0.650791374
1,97,42,76,0.0222349,5,-1.5707963,2.68E-08
1,98,32,70,-0.568182,11.6619038,-2.6011732,0.514495692
1,99,26,59,1.212424,12.5299641,-2.070143,0.862285812
1,100,19,45,0.1795158,15.6524758,-2.0344439,0.999362855
1,101,27,32,-0.4344283,15.2643375,-1.0191413,0.527362855
1,102,35,27,-0.8329424,9.4339811,-0.5585993,0.895811746
1,103,45,20,0.266206,12.2065556,-0.610726,0.998641711
1,104,51,19,-1.253153,6.0827625,-0.1651487,0.902362012
1,105,78,10,1.780259,28.4604989,-0.3217506,0.987762962
1,106,83,7,2.576549,5.8309519,-0.5404195,0.97618707
1,107,89,5,2.348312,6.3245553,-0.3217506,0.97618707
1,108,93,7,0.4356943,4.472136,0.4636476,0.707106755
1,109,96,9,0.4303975,3.6055513,0.5880026,0.992277876
1,110,88,19,1.33035,12.8062485,2.2455373,-0.086629651
1,111,85,27,0.9544123,8.5440037,1.929567,0.950495316
