Observed,strata,x-val,y-val,resource,StepLength
1,1,67,63,1.7725150,21.4009346
1,2,67,66,1.7483070,3.0000000
1,3,76,66,2.5387070,9.0000000
1,4,76,57,1.6132700,9.0000000
1,5,76,57,1.6132700,0.0000000
1,6,76,66,2.5387070,9.0000000
1,7,76,66,2.5387070,0.0000000
1,8,75,67,1.8707250,1.4142136
1,9,76,66,2.5387070,1.4142136
1,10,76,66,2.5387070,0.0000000
1,11,76,66,2.5387070,0.0000000
1,12,76,66,2.5387070,0.0000000
1,13,76,66,2.5387070,0.0000000
1,14,76,66,2.5387070,0.0000000
1,15,76,66,2.5387070,0.0000000
1,16,76,66,2.5387070,0.0000000
1,17,76,66,2.5387070,0.0000000
1,18,76,66,2.5387070,0.0000000
1,19,76,66,2.5387070,0.0000000
1,20,76,66,2.5387070,0.0000000
1,21,76,66,2.5387070,0.0000000
1,22,76,66,2.5387070,0.0000000
1,23,76,66,2.5387070,0.0000000
1,24,76,66,2.5387070,0.0000000
1,25,76,66,2.5387070,0.0000000
1,26,76,66,2.5387070,0.0000000
1,27,76,66,2.5387070,0.0000000
1,28,76,66,2.5387070,0.0000000
1,29,76,66,2.5387070,0.0000000
1,30,76,66,2.5387070,0.0000000
1,31,76,66,2.5387070,0.0000000
1,32,76,66,2.5387070,0.0000000
1,33,76,66,2.5387070,0.0000000
1,34,76,66,2.5387070,0.0000000
1,35,76,66,2.5387070,0.0000000
1,36,76,66,2.5387070,0.0000000
1,37,76,66,2.5387070,0.0000000
1,38,76,66,2.5387070,0.0000000
1,39,76,66,2.5387070,0.0000000
1,40,76,66,2.5387070,0.0000000
1,41,75,66,1.7440390,1.0000000
1,42,76,66,2.5387070,1.0000000
1,43,68,70,1.7433770,8.9442719
1,44,76,66,2.5387070,8.9442719
1,45,75,67,1.8707250,1.4142136
1,46,68,70,1.7433770,7.6157731
1,47,76,66,2.5387070,8.9442719
1,48,76,66,2.5387070,0.0000000
1,49,76,66,2.5387070,0.0000000
1,50,76,66,2.5387070,0.0000000
1,51,76,66,2.5387070,0.0000000
1,52,76,66,2.5387070,0.0000000
1,53,76,66,2.5387070,0.0000000
1,54,76,66,2.5387070,0.0000000
1,55,76,66,2.5387070,0.0000000
1,56,76,66,2.5387070,0.0000000
1,57,76,66,2.5387070,0.0000000
1,58,76,66,2.5387070,0.0000000
1,59,75,66,1.7440390,1.0000000
1,60,76,66,2.5387070,1.0000000
1,61,76,66,2.5387070,0.0000000
1,62,77,65,1.3665180,1.4142136
1,63,76,66,2.5387070,1.4142136
1,64,76,66,2.5387070,0.0000000
1,65,76,66,2.5387070,0.0000000
1,66,76,66,2.5387070,0.0000000
1,67,76,66,2.5387070,0.0000000
1,68,76,66,2.5387070,0.0000000
1,69,74,63,1.3438290,3.6055513
1,70,68,58,1.0543870,7.8102497
1,71,76,66,2.5387070,11.3137085
1,72,76,66,2.5387070,0.0000000
1,73,76,66,2.5387070,0.0000000
1,74,76,66,2.5387070,0.0000000
1,75,76,66,2.5387070,0.0000000
1,76,76,66,2.5387070,0.0000000
1,77,76,66,2.5387070,0.0000000
1,78,76,66,2.5387070,0.0000000
1,79,76,66,2.5387070,0.0000000
1,80,76,66,2.5387070,0.0000000
1,81,76,66,2.5387070,0.0000000
1,82,76,66,2.5387070,0.0000000
1,83,76,66,2.5387070,0.0000000
1,84,76,66,2.5387070,0.0000000
1,85,76,66,2.5387070,0.0000000
1,86,76,66,2.5387070,0.0000000
1,87,76,66,2.5387070,0.0000000
1,88,71,55,1.4524390,12.0830460
1,89,76,66,2.5387070,12.0830460
1,90,76,66,2.5387070,0.0000000
1,91,68,65,1.5602810,8.0622577
1,92,76,66,2.5387070,8.0622577
1,93,76,66,2.5387070,0.0000000
1,94,76,66,2.5387070,0.0000000
1,95,76,66,2.5387070,0.0000000
1,96,76,66,2.5387070,0.0000000
1,97,76,66,2.5387070,0.0000000
1,98,76,66,2.5387070,0.0000000
1,99,76,66,2.5387070,0.0000000
1,100,76,66,2.5387070,0.0000000
1,101,76,66,2.5387070,0.0000000
1,102,76,66,2.5387070,0.0000000
1,103,76,66,2.5387070,0.0000000
1,104,76,66,2.5387070,0.0000000
1,105,76,66,2.5387070,0.0000000
1,106,76,66,2.5387070,0.0000000
1,107,76,66,2.5387070,0.0000000
1,108,67,63,1.7725150,9.4868330
1,109,76,66,2.5387070,9.4868330
1,110,76,66,2.5387070,0.0000000
1,111,76,66,2.5387070,0.0000000
1,112,76,66,2.5387070,0.0000000
1,113,76,66,2.5387070,0.0000000
1,114,76,66,2.5387070,0.0000000
1,115,76,66,2.5387070,0.0000000
1,116,76,66,2.5387070,0.0000000
1,117,76,66,2.5387070,0.0000000
1,118,76,66,2.5387070,0.0000000
1,119,76,66,2.5387070,0.0000000
1,120,76,66,2.5387070,0.0000000
1,121,75,58,1.6385770,8.0622577
1,122,76,66,2.5387070,8.0622577
1,123,76,66,2.5387070,0.0000000
1,124,76,66,2.5387070,0.0000000
1,125,76,66,2.5387070,0.0000000
1,126,76,66,2.5387070,0.0000000
1,127,76,66,2.5387070,0.0000000
1,128,76,66,2.5387070,0.0000000
1,129,76,66,2.5387070,0.0000000
1,130,76,66,2.5387070,0.0000000
1,131,76,66,2.5387070,0.0000000
1,132,76,66,2.5387070,0.0000000
1,133,76,66,2.5387070,0.0000000
1,134,75,66,1.7440390,1.0000000
1,135,76,66,2.5387070,1.0000000
1,136,76,66,2.5387070,0.0000000
1,137,76,66,2.5387070,0.0000000
1,138,76,66,2.5387070,0.0000000
1,139,76,66,2.5387070,0.0000000
1,140,76,66,2.5387070,0.0000000
1,141,76,66,2.5387070,0.0000000
1,142,76,66,2.5387070,0.0000000
1,143,76,66,2.5387070,0.0000000
1,144,76,66,2.5387070,0.0000000
1,145,76,66,2.5387070,0.0000000
1,146,76,66,2.5387070,0.0000000
1,147,76,66,2.5387070,0.0000000
1,148,76,66,2.5387070,0.0000000
1,149,76,66,2.5387070,0.0000000
1,150,76,66,2.5387070,0.0000000
1,151,76,66,2.5387070,0.0000000
1,152,76,66,2.5387070,0.0000000
1,153,68,65,1.5602810,8.0622577
1,154,76,66,2.5387070,8.0622577
1,155,76,66,2.5387070,0.0000000
1,156,76,66,2.5387070,0.0000000
1,157,76,66,2.5387070,0.0000000
1,158,77,65,1.3665180,1.4142136
1,159,76,66,2.5387070,1.4142136
1,160,76,66,2.5387070,0.0000000
1,161,76,66,2.5387070,0.0000000
1,162,76,66,2.5387070,0.0000000
1,163,76,66,2.5387070,0.0000000
1,164,76,66,2.5387070,0.0000000
1,165,76,66,2.5387070,0.0000000
1,166,76,66,2.5387070,0.0000000
1,167,75,67,1.8707250,1.4142136
1,168,76,66,2.5387070,1.4142136
1,169,76,66,2.5387070,0.0000000
1,170,76,66,2.5387070,0.0000000
1,171,76,66,2.5387070,0.0000000
1,172,76,66,2.5387070,0.0000000
1,173,76,66,2.5387070,0.0000000
1,174,76,66,2.5387070,0.0000000
1,175,76,66,2.5387070,0.0000000
1,176,76,66,2.5387070,0.0000000
